"hotel_name","city","address","rating","top_attractions","Restaurants & cafes","Public transit","Closest Airports","Parking","Languages Spoken","Check_in","Check_out","Pets_allowance","facilities"
"Citadines Kurfürstendamm Berlin","Rome","Olivaer Platz 1, Charlottenburg-Wilmersdorf, 10707 Berlin, Germany Excellent location – rated 9.2/10!","8.9","['The Brandenburg Gate\n5 km', 'Holocaust Memorial\n5 km', 'Topography of Terror\n5 km', 'German Historical Museum\n6 km', 'Pergamon Museum\n7 km', 'Memorial of the Berlin Wall\n7 km', 'Natural History Museum, Berlin\n6 km', 'Potsdamer Platz\n4.9 km', 'Neues Museum\n7 km', 'Gendarmenmarkt\n6 km']","['RestaurantAux Merveilleux de Fred\n30 m', 'RestaurantFit & Organic by Adriana\n50 m', 'Cafe/BarCosta Coffee\n50 m']","['TrainSavignyplatz 1.1 km', 'SubwayU-Bahn-Adenauerplatz 500 m', 'BusOlivaer Platz Süd 50 m', 'BusOlivaer Platz 250 m', 'TrainS-Bahn-Savignyplatz 850 m', 'SubwayAdenauerplatz Metro Station 450 m']","['Berlin Brandenburg Airport Willy Brandt\n28 km']","False","['Sportplatz Forckenbeckstraße2.8 km', 'Spielplatz Stuttgarter Platz1.4 km', 'Volkspark Wilmersdorf1.7 km', 'Berggruen Museum2.9 km', 'Indiana Bones Spielplatz1.8 km', 'Funkturm Berlin3 km', 'Spielplatz Charlottenburger Ufer 72.8 km', 'Savigny Square1.2 km', 'Magarete-und-Artuhr-Eloesser- Park1.1 km', 'Liebknecht-Denkmal Tiergarten3 km']","From 3:00 PM","Until 11:00 AM","False","['Facilities for disabled guests', 'Free Wifi', 'Terrace', 'Private Parking', 'Elevator', 'Garden', 'Family rooms', 'Non-smoking rooms', 'Good Breakfast', '24-hour front desk']"
"NexLiving Berlin Brandenburger Tor","Rome","Unter den Linden 80 / Pariser Platz 4a, Mitte, 10117 Berlin, Germany Excellent location – rated 9.9/10!","8.8","['Pergamon Museum\n1.5 km', 'Memorial of the Berlin Wall\n2.7 km', 'Potsdamer Platz\n1.1 km', 'Natural History Museum, Berlin\n1.6 km', 'Gendarmenmarkt\n1.2 km', 'Topography of Terror\n1.3 km', 'Neues Museum\n1.6 km', 'Berlin TV Tower\n2.1 km', 'Alexanderplatz\n2.5 km', 'German Historical Museum\n1.1 km']","['Cafe/BarStarbucks\n50 m', 'RestaurantPanini Bar\n50 m', ""Cafe/BarDunkin'\n40 m""]","['SubwayU-Bahn-Friedrichstraße 650 m', 'TrainS Brandenburger Tor 100 m', 'TrainS-Bahn-Friedrichstraße 650 m', 'SubwayBrandenburger Tor Suburban Railway and Underground Station 50 m', 'BusS+U Brandenburger Tor/Glinkastr. 250 m', 'BusBehrenstr./Wilhelmstr. 250 m']","['Berlin Brandenburg Airport Willy Brandt\n27 km']","False","['English', 'German']","From 2:00 PM to 7:00 PM","From 7:00 AM to 12:00 PM","False","['Free Wifi', 'Bar', 'Terrace', 'Heating', 'Family rooms', 'Non-smoking rooms']"
"Homely Berlin - Super Modern, City Center, Rosenthalerplatz","Rome","130 Linienstraße, Mitte, 10115 Berlin, Germany Excellent location – rated 9.4/10!","8.5","['The Brandenburg Gate\n1.9 km', 'Alexanderplatz\n2.2 km', 'Holocaust Memorial\n2.2 km', 'Potsdamer Platz\n2.8 km', 'Topography of Terror\n2.8 km', 'German Historical Museum\n1.7 km', 'Neues Museum\n1.6 km', 'Berlin TV Tower\n2 km', 'Gendarmenmarkt\n1.8 km', 'Pergamon Museum\n1.7 km']","['Cafe/BarAnna Hirsch\n6 m', 'RestaurantChelany\n6 m', 'RestaurantMarral\n4 m']","['SubwayU-Bahn-Oranienburger Tor 150 m', 'TrainOranienburgerstrasse 500 m', 'BusTorstr./U Oranienburger Tor 100 m', 'SubwayOranienburger Tor Metro Station 300 m', 'TrainS-Bahn-Oranienburger Straße 500 m', 'BusPhilippstr. 350 m']","['Berlin Brandenburg Airport Willy Brandt\n27 km']","False","['Palace of Tears800 m', 'Agnes-Sorma-Park850 m', 'Altes Museum1.5 km', 'Boros Foundation700 m', 'German', 'English', 'Bode Museum1.1 km', 'Memorial of the Berlin Wall1.2 km', 'Hochseilgarten MountMitte950 m', 'Monbijou Park950 m', 'KW Institute for Contemporary Art550 m', 'Natural History Museum, Berlin800 m']","From 3:00 PM","Until 10:00 AM","False","['Free Wifi', 'Heating', 'Family rooms', 'Non-smoking rooms', 'Parking']"
"APPARTEMENT PARIS - LOUVRE & RIVOLI","Paris","71 Rue Saint-Honoré, 1st arr., 75001 Paris, France Excellent location – rated 9.6/10!","8.7","['Tuileries Garden\n1.4 km', 'Luxembourg Gardens\n1.8 km', 'Eiffel Tower\n4.3 km', 'Sainte Chapelle\n800 m', ""Musée de l'Orangerie\n1.8 km"", 'Rodin Museum\n2.8 km', 'Pompidou Center\n750 m', 'Arc de Triomphe\n4.1 km', 'Orsay Museum\n1.8 km']","['RestaurantB &J Developpement\n10 m', 'RestaurantBun Bun\n30 m', 'RestaurantMilo\n4 m']","['SubwayLouvre — Rivoli 300 m', 'TrainChâtelet - Les Halles 300 m', 'BusRond-Point de la Division Leclerc 16 km', 'SubwayChâtelet-Les Halles RER Station 200 m', 'TrainSaint-Michel Notre-Dame 1.2 km', 'BusDivision Leclerc - Wallon 16 km']","['Beauvais–Tillé Airport\n84 km', 'Paris - Orly Airport\n14 km', 'Paris - Charles De Gaulle Airport\n22 km']","False","[]","From 3:00 PM to 11:00 PM","From 6:00 AM to 11:00 AM","False","['Heating', 'Free Wifi', 'Non-smoking rooms']"
"Appartement de luxe d'une chambre à proximité du Louvre III","Paris","4 Rue de la Sourdière, 1st arr., 75001 Paris, France Excellent location – rated 10/10!","10","['Eiffel Tower\n3.5 km', 'Pompidou Center\n1.9 km', 'Sainte Chapelle\n1.9 km', 'Rodin Museum\n2.1 km', ""Musée de l'Orangerie\n900 m"", 'Louvre Museum\n800 m', 'Luxembourg Gardens\n2.6 km', 'Arc de Triomphe\n3.2 km', 'Orsay Museum\n1.1 km']","['RestaurantMatsuda\n50 m', 'RestaurantSecret Flavor Europe\n5 m', ""RestaurantMar'Co\n3 m""]","['SubwayTuileries Metro Station 200 m', 'SubwayPyramides Metro Station 350 m', 'TrainAuber Station 900 m', 'BusDivision Leclerc - Wallon 16 km', ""TrainMusée d'Orsay 950 m"", 'BusCosmonautes 16 km']","['Beauvais–Tillé Airport\n83 km', 'Paris - Orly Airport\n15 km', 'Paris - Charles De Gaulle Airport\n21 km']","False","['French', 'English']","From 4:00 PM to 10:00 PM","From 12:00 AM to 11:00 AM","False","['Free Wifi', 'Elevator', 'Air conditioning']"
"Arc de Triomphe Apartment","Paris","17 Rue des Acacias, 17th arr., 75017 Paris, France Excellent location – rated 9.5/10!","8.8","['Eiffel Tower\n2.7 km', ""Musée de l'Orangerie\n2.8 km"", 'Orsay Museum\n3.6 km', 'Louvre Museum\n4.3 km', 'Sainte Chapelle\n5 km', 'Rodin Museum\n3.6 km', 'Palace of Versailles\n17 km', 'Luxembourg Gardens\n5 km', 'Pompidou Center\n5 km', 'Tuileries Garden\n3.4 km']","['RestaurantMallory Gabsi\n50 m', 'RestaurantFresh in Paris\n50 m', 'RestaurantMerci Jerome\n30 m']","['SubwayArgentine Metro Station 200 m', 'SubwayCharles de Gaulle-Etoile Metro Station 500 m', 'TrainNeuilly - Porte Maillot 700 m', 'BusCosmonautes 18 km', 'BusManouchian 18 km', 'TrainCharles de Gaulle-Étoile 500 m']","['Paris - Charles De Gaulle Airport\n24 km', 'Paris - Orly Airport\n22 km', 'Beauvais–Tillé Airport\n82 km']","False","[]","From 1:00 PM to 11:00 PM","From 11:00 AM to 12:00 PM","False","['Free Wifi', 'Heating', 'Elevator', 'Restaurant', 'Non-smoking rooms', 'Parking', '24-hour front desk']"
"Stylish Flat Close to Louvre & Palais-Royal","Paris","34 Rue de Richelieu, 1st arr., 75001 Paris, France Excellent location – rated 10/10!","","['Rodin Museum\n2.4 km', 'Pompidou Center\n1.6 km', ""Musée de l'Orangerie\n1.4 km"", 'Arc de Triomphe\n3.6 km', 'Eiffel Tower\n3.9 km', 'Sainte Chapelle\n1.8 km', 'Louvre Museum\n650 m', 'Luxembourg Gardens\n2.4 km', 'Orsay Museum\n1.4 km', 'Tuileries Garden\n850 m']","['RestaurantEllsworth\n0 m', 'Cafe/BarChatime\n30 m', 'RestaurantLe Festival\n0 m']","['TrainAuber Station 1 km', 'BusCosmonautes 14 km', 'TrainChâtelet - Les Halles 1.1 km', 'SubwayPyramides Metro Station 300 m', 'SubwayPalais Royal – Musée du Louvre Metro Station 300 m', 'BusDivision Leclerc - Wallon 14 km']","['Beauvais–Tillé Airport\n79 km', 'Paris - Orly Airport\n15 km', 'Paris - Charles De Gaulle Airport\n19 km']","False","[]","From 3:00 PM","Until 11:00 AM","False","['Free Wifi', 'Air conditioning', 'Heating', 'Elevator', 'Non-smoking rooms']"
"Mondovi Luxury Suites","Paris","7 Rue de Mondovi, 1st arr., 75001 Paris, France Excellent location – rated 9.9/10!","","['Luxembourg Gardens\n3.2 km', 'Eiffel Tower\n3.1 km', 'Rodin Museum\n1.9 km', 'Louvre Museum\n1.4 km', 'Pompidou Center\n2.5 km', 'Arc de Triomphe\n2.8 km', 'Sainte Chapelle\n2.5 km', 'Orsay Museum\n1.1 km']","['RestaurantLe Florentin\n200 m', 'RestaurantMado à Paris\n200 m', 'RestaurantFlottes\n100 m']","['SubwayMadeleine Metro Station 400 m', 'TrainAuber Station 850 m', 'BusDivision Leclerc - Wallon 16 km', 'BusCosmonautes 16 km', ""TrainMusée d'Orsay 1.1 km"", 'SubwayConcorde Metro Station 400 m']","['Beauvais–Tillé Airport\n83 km', 'Paris - Charles De Gaulle Airport\n22 km', 'Paris - Orly Airport\n17 km']","False","[]","From 4:00 PM","Until 12:00 PM","False","['Facilities for disabled guests', 'Free Wifi', 'Bar', 'Heating', 'Breakfast', 'Elevator', 'Laundry', 'Family rooms', 'Non-smoking rooms', '24-hour front desk']"
"Ukrainian Village 2BR Modern Apartment D2","Chicago","908 N Damen Ave, Chicago, IL 60622, USA, Chicago, 60622, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","8.3","['Cloud Gate – The Bean\n5 km', 'Millennium Park\n5 km', 'Field Museum of Natural History\n7 km', 'Chicago History Museum\n5 km', 'Grant Park\n6 km', 'Buckingham Memorial Fountain\n6 km', 'Charnley-Persky House Museum\n5 km', 'Art Institute of Chicago\n5 km', 'Navy Pier\n6 km', 'Lincoln Park Zoo\n6 km']","['RestaurantSUBWAY\n200 m', 'RestaurantGreek Corner Gyros\n150 m', 'RestaurantLao Peng You\n250 m']","['TrainWestern Avenue 1.9 km', 'TrainClybourn 2.8 km', 'SubwayDivision 1.4 km', 'SubwayDamen 1.3 km']","[""Chicago O'Hare International Airport\n25 km"", 'Midway International Airport\n16 km']","False","['English']","From 4:00 PM to 10:00 PM","Until 11:00 AM","True","['Free Wifi']"
"East Village 2BR Modern Apartment H1","Chicago","846 N Hermitage Ave, Chicago, IL 60622, USA, Chicago, 60622, United States Excellent location – rated 9.4/10!","7.6","['Charnley-Persky House Museum\n4.7 km', 'Cloud Gate – The Bean\n5 km', 'Millennium Park\n5 km', 'Navy Pier\n5 km', 'Lincoln Park Zoo\n5 km', 'Field Museum of Natural History\n7 km', 'Buckingham Memorial Fountain\n6 km', 'Art Institute of Chicago\n5 km', 'Grant Park\n5 km', 'Chicago History Museum\n4.8 km']","[""RestaurantKoko's Mediterranean Grille\n150 m"", 'RestaurantYuzu Sushi & Robata Grill\n250 m', 'RestaurantForbidden Root\n100 m']","['TrainWestern Avenue 2.3 km', 'TrainClybourn 2.5 km', 'SubwayChicago 1.5 km', 'SubwayDivision 1 km']","[""Chicago O'Hare International Airport\n25 km"", 'Midway International Airport\n16 km']","False","['English']","From 4:00 PM to 10:00 PM","Until 11:00 AM","False","['Free Wifi']"
"Ukrainian Village 2BR Modern Apartment D1","Chicago","906 N Damen Ave, Chicago, IL 60622, USA, Chicago, 60622, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","8.6","['Cloud Gate – The Bean\n5 km', 'Millennium Park\n5 km', 'Field Museum of Natural History\n7 km', 'Chicago History Museum\n5 km', 'Grant Park\n6 km', 'Buckingham Memorial Fountain\n6 km', 'Charnley-Persky House Museum\n5 km', 'Art Institute of Chicago\n5 km', 'Navy Pier\n6 km', 'Lincoln Park Zoo\n6 km']","['RestaurantSUBWAY\n200 m', 'RestaurantGreek Corner Gyros\n150 m', ""Cafe/BarNilda's Place\n250 m""]","['TrainWestern Avenue 1.9 km', 'TrainClybourn 2.8 km', 'SubwayDivision 1.4 km', 'SubwayDamen 1.3 km']","[""Chicago O'Hare International Airport\n25 km"", 'Midway International Airport\n16 km']","False","[]","From 4:00 PM to 10:00 PM","Until 11:00 AM","True","['Free Wifi']"
"Trendy West Town Flat - 2 bed / 1.5 bath w parking","Chicago","1836 West Superior Street 1F, Chicago, IL 60622, United States Excellent location – rated 9.4/10!","9.7","['Cloud Gate – The Bean\n5 km', 'Millennium Park\n5 km', 'Navy Pier\n5 km', 'Field Museum of Natural History\n7 km', 'Chicago History Museum\n5 km', 'Grant Park\n6 km', 'Buckingham Memorial Fountain\n6 km', 'Charnley-Persky House Museum\n5 km', 'Art Institute of Chicago\n5 km', 'Lincoln Park Zoo\n6 km']","[""RestaurantNaty's Pizza\n150 m"", 'RestaurantBarcocina West Town\n250 m', ""RestaurantDona Naty's Taco\n150 m""]","['TrainWestern Avenue 1.9 km', 'SubwayDivision 1.5 km', 'TrainClybourn 2.9 km', 'SubwayAshland 1.6 km']","[""Chicago O'Hare International Airport\n25 km"", 'Midway International Airport\n16 km']","False","[]","From 3:00 PM","Until 11:00 AM","False","['Free Wifi', 'Terrace', 'Laundry', 'Family rooms', 'Non-smoking rooms', 'Free parking']"
